id;issue_department_key;issue_department
1;compressing Books;Legacy Incredible
2;Engineer Personal;Saudi Loan Cambridgeshire
3;Account web-readiness Clothing;payment FTP benchmark
4;Practical Officer viral;multi-byte content-based payment
5;Switchable Games Graphical;web-readiness
6;e-enable Practical Account;Incredible
7;reboot Dalasi olive;transmitting Pennsylvania Pizza
8;Latvian;Infrastructure back-end Borders
9;bandwidth Refined plum;Intuitive Tuna quantify
10;interactive;payment Personal zero
