id;issue_id;issue_uuid;tag
1;91731;5f393d91-289f-4608-91d2-d0a383beeb76;Data Jordanian deposit
2;66802;2f37b46a-5a13-41c9-abf6-1a37064ab55f;Tactics Wisconsin
3;38174;1c47bd43-d233-4443-ac18-1f2e2a846db4;Clothing
4;35481;23012739-8438-487c-a4be-0a5c4fb30caa;back-end
5;94186;58d5a948-1e2c-4e37-a38f-514889bee8c0;cohesive program niches
6;41914;1c7ab884-a6f3-4388-ac95-6327ebd7f38c;transmitting application New
7;57822;55b0a2c5-1a5d-4705-99e9-1fd5a54dd6c6;Steel Wooden TCP
8;75644;0e68cfe1-2f2b-4655-9210-19be1b9f9435;implementation
9;98691;f8c0c317-caad-4260-9a64-9addcb5fc0cc;reciprocal back-end
10;43984;7ed0065f-d8fb-4abc-bd9f-b2bea19a24b4;Plastic fuchsia Bulgaria
