id;issue_type_key;issue_type_weight;issue_type;is_active
1;Plastic Rustic;33295;networks;false
2;Handcrafted Fresh Consultant;11523;Internal integrate;true
3;Tuna;37571;Account Handmade Gorgeous;false
4;Park Ergonomic;3487;Implemented Operations e-business;true
5;Connecticut;64289;Mouse invoice initiatives;true
6;intermediate Loan;27197;Computer;true
7;turquoise;13649;override Pizza;false
8;XML;94088;orchid;false
9;hack;54220;generate Automotive Computers;true
10;Fish application;42785;Pizza;true
